stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_132275,,Sierra Grande,,19.407567482317745,-99.22861218452454,,,0,,0,
STOP_132277,,Sierra Ixtlán,,19.406525200297253,-99.22679901123047,,,0,,0,
STOP_132278,,Bosque de Auvernia,,19.407021044033204,-99.22364473342896,,,0,,0,
STOP_132281,,Montañas Rocallosas,,19.4115139265231,-99.22094106674193,,,0,,0,
STOP_132282,,Sierra Tarahumara,,19.41313295284835,-99.21984672546387,,,0,,0,
STOP_132285,,Sierra Bacatete,,19.415156713082478,-99.21899914741516,,,0,,0,
STOP_132286,,Monte Líbano,,19.41786851229719,-99.21806573867798,,,0,,0,
STOP_132288,,Montes Pirineos,,19.42046896382466,-99.21763658523558,,,0,,0,
STOP_132290,,Sierra Vertientes,,19.40580673016103,-99.22880530357361,,,0,,0,
STOP_132291,,Glorieta de Bosques,,19.406596035209237,-99.23364400863647,,,0,,0,
STOP_132293,,Bosque de Chihuahua,,19.410269289075153,-99.23543572425842,,,0,,0,
STOP_132294,,Bosque de Ciruelos,,19.409186547936915,-99.23795700073242,,,0,,0,
STOP_132297,,Bosque de Duraznos,,19.407678793595064,-99.24014568328857,,,0,,0,
STOP_132298,,Bosque de Sándalos,,19.40707164024778,-99.24075722694397,,,0,,0,
STOP_132300,,Bosque de Mangos,,19.40490610818369,-99.24286007881165,,,0,,0,
STOP_132303,,Bosque de Capulines,,19.402082777756675,-99.24558520317078,,,0,,0,
STOP_132304,,Bosque de Maples,,19.401303570408693,-99.246346950531,,,0,,0,
STOP_132307,,Bosques de Abedules,,19.39821706307652,-99.24916863441467,,,0,,0,
STOP_132309,,Bosques de Abedules,,19.396810405886903,-99.25237655639648,,,0,,0,
STOP_132310,,Bosques Colorines,,19.396355010666056,-99.25409317016602,,,0,,0,
STOP_132312,,Bosques de Castilloas,,19.395140617180168,-99.25651788711548,,,0,,0,
STOP_132315,,Bosques de Cacao,,19.392114713992914,-99.25939321517943,,,0,,0,
STOP_132317,,Fábrica de Armas,,19.390019824987313,-99.25962924957275,,,0,,0,
STOP_132319,,Fábrica de Cartuchos,,19.388349966615987,-99.26254749298096,,,0,,0,
STOP_132323,,Royal Reforma,,19.385536469531164,-99.26340579986572,,,0,,0,
STOP_132326,,Secretaría de Marina,,19.383775478993424,-99.2660665512085,,,0,,0,
STOP_132328,,Pabellón Bosques,,19.381437582822993,-99.2669141292572,,,0,,0,
STOP_132330,,Bosque de Toronjos,,19.3803445289444,-99.26518678665161,,,0,,0,
STOP_132332,,Bosque de Teponaztles,,19.38282413135486,-99.26202178001404,,,0,,0,
STOP_132333,,Bosque de Zarzas,,19.385131645805927,-99.25932884216309,,,0,,0,
STOP_132335,,Bosque de Tejocotes,,19.386882501180715,-99.25711870193481,,,0,,0,
STOP_132337,,Bosque de Yucas,,19.38907863419344,-99.2543077468872,,,0,,0,
STOP_132339,,Bosque de Tabachines,,19.390242471476004,-99.25253748893738,,,0,,0,
STOP_132346,,Bosque de Alisos,,19.387783222912127,-99.25153970718384,,,0,,0,
STOP_132348,,Paseo de los Tamarindos,,19.38649792184485,-99.25352454185486,,,0,,0,
STOP_132350,,Prolongación Reforma (Túnel),,19.37604308828835,-99.2613136768341,,,0,,0,
STOP_132352,,Priv. Palo Alto,,19.38002065971978,-99.25946831703186,,,0,,0,
STOP_132355,,Bosque de Radiatas,,19.38386656517791,-99.25734400749207,,,0,,0,
STOP_132356,,Sierra Breña,,19.403125088243936,-99.2306399345398,,,0,,0,
STOP_132357,,Castillo de Windsor,,19.402578635034896,-99.23157334327698,,,0,,0,
STOP_132358,,Castillo de Chapultepec,,19.399795742994346,-99.23401951789856,,,0,,0,
STOP_132359,,Castillo de Chapultepec,,19.399401074450868,-99.23394441604614,,,0,,0,
STOP_132360,,Rivera de Cupia,,19.396952084140135,-99.23729181289673,,,0,,0,
STOP_132361,,Rivera de Cupia,,19.39658776838259,-99.23725962638855,,,0,,0,
STOP_132362,,Castillo de Miramar,,19.398480177459845,-99.23483490943909,,,0,,0,
STOP_132363,,Paseo de la Reforma,,19.394958457375697,-99.2391049861908,,,0,,0,
STOP_132364,,Constituyentes,,19.393713693254984,-99.23977017402649,,,0,,0,
STOP_132365,,Puente Conafrut,,19.387358163839544,-99.2428708076477,,,0,,0,
STOP_132366,,Puente Conafrut,,19.386993826608396,-99.24250602722168,,,0,,0,
STOP_132367,,Bosque de Duraznos ,,19.405037660019467,-99.24127221107483,,,0,,0,
STOP_132368,,Bosque de Duraznos I,,19.402588754555435,-99.24319267272949,,,0,,0,
STOP_132369,,Bosque de Duraznos II,,19.40400548121959,-99.24014568328857,,,0,,0,
STOP_132370,,Parque Duraznos,,19.40815439546721,-99.23802137374877,,,0,,0,
STOP_132883,,Gob. J. Cortina,,19.407628197569363,-99.18745636940002,,,0,,0,
STOP_132885,,Avenida Jalisco,,19.407699032000934,-99.18449521064758,,,0,,0,
STOP_132890,,Carlos B Zetina,,19.40708175948881,-99.18259620666504,,,0,,0,
STOP_132891,,Gral Fco Alvarado (Metro Patriotismo),,19.40590792333,-99.17904496192932,,,0,,0,
STOP_132893,,Agricultura,,19.405047779387058,-99.1763412952423,,,0,,0,
STOP_132894,,Mineria,,19.40351974775329,-99.17592287063599,,,0,,0,
STOP_132895,,Benjamin Franklin (Eje 4 Sur),,19.40458228782692,-99.17532205581665,,,0,,0,
STOP_132896,,Baja California (Eje 3 Sur),,19.40563470162931,-99.1749894618988,,,0,,0,
STOP_132897,,Nuevo León,,19.405725775580528,-99.17208194732666,,,0,,0,
STOP_132898,,Chilpancingo (Metro Chilpacingo),,19.40580673016103,-99.16934609413147,,,0,,0,
STOP_132899,,Tlacotalpan,,19.405887684701234,-99.16648149490356,,,0,,0,
STOP_132900,,Medellin (Eje 3 Pte),,19.40603947435552,-99.16332721710205,,,0,,0,
STOP_132901,,Linares,,19.406191263868134,-99.16049480438232,,,0,,0,
STOP_132902,,Cuauhtémoc (Eje 1 Pte),,19.40645436535444,-99.15538787841797,,,0,,0,
STOP_132903,,Doctor Jiménez,,19.406636512287943,-99.1515576839447,,,0,,0,
